TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3,unit,wins,make_playoffs,win_finals
BOS,57-25,100,20.4%,<0.1%,bos,57,1,0.204
PHI,50-32,98.5%,10.4%,<0.1%,phi,50,0.985,0.10400000000000001
MIL,55-27,99.7%,9.9%,<0.1%,mil,55,0.997,0.099
CLE,53-29,99.5%,7.3%,<0.1%,cle,53,0.995,0.073
ATL,50-32,97.2%,4.7%,<0.1%,atl,50,0.972,0.047
TOR,47-35,91.5%,2.3%,0.4%,tor,47,0.915,0.023
BKN,43-39,73.1%,1.6%,1.5%,bkn,43,0.731,0.016
MIA,42-40,62.5%,0.7%,2.4%,mia,42,0.625,0.006999999999999999
CHI,39-43,31.6%,0.1%,7.1%,chi,39,0.316,0.001
CHA,36-46,15.1%,0,12.5%,cha,36,0.151,0
WSH,36-46,13.6%,0,13.1%,wsh,36,0.136,0
NY,35-47,11.9%,0,14.1%,ny,35,0.11900000000000001,0
IND,34-48,5.8%,0.0%,18.4%,ind,34,0.057999999999999996,0
ORL,25-57,0,0.0%,37.8%,orl,25,0,0
DET,21-61,0.0%,0.0%,39.9%,det,21,0,0
PHX,54-28,99.8%,13.8%,<0.1%,phx,54,0.998,0.138
DAL,51-31,98.8%,8.6%,<0.1%,dal,51,0.988,0.086
MEM,49-33,96.8%,5.9%,0.1%,mem,49,0.968,0.059000000000000004
DEN,48-34,95.1%,4.4%,0.2%,den,48,0.951,0.044000000000000004
NO,48-34,93.9%,3.3%,0.3%,no,48,0.9390000000000001,0.033
GS,44-38,79.6%,3.1%,1.1%,gs,44,0.7959999999999999,0.031
UTH,47-35,91.2%,2.1%,0.4%,uta,47,0.912,0.021
MIN,42-40,59.7%,0.7%,2.6%,min,42,0.597,0.006999999999999999
LAC,39-43,36.3%,0.2%,5.9%,lac,39,0.363,0.002
LAL,36-46,12.5%,0.1%,14.0%,lal,36,0.125,0.001
SAC,36-46,16.6%,0,12.3%,sac,36,0.166,0
POR,37-45,18.8%,0,11.1%,por,37,0.188,0
SA,29-53,0.6%,0.0%,31.1%,sa,29,0.006,0
OKC,27-55,0.1%,0.0%,33.8%,okc,27,0.001,0
HOU,22-60,0.0%,0.0%,39.6%,hou,22,0,0
