TEAM,WIN-LOSS,PLAY-OFFS,NBATITLE,DRAFTTOP 3
BOS,56-26,>99.9%,20.7%,<0.1%
PHI,53-29,99.6%,13.5%,<0.1%
MIL,52-30,99.0%,7.3%,<0.1%
CLE,51-31,98.8%,6.1%,<0.1%
ATL,48-34,95.3%,4.1%,0.2%
TOR,45-37,83.5%,1.7%,0.7%
BKN,42-40,60.8%,1.1%,3.1%
MIA,42-40,60.4%,0.9%,3.1%
CHA,40-42,44.9%,0.4%,4.9%
CHI,37-45,20.7%,0.1%,11.5%
WSH,37-45,17.2%,<0.1%,12.4%
NY,36-46,15.6%,<0.1%,13.7%
IND,33-49,4.2%,<0.1%,21.3%
ORL,24-58,<0.1%,0.0%,38.3%
DET,23-59,0.0%,0.0%,39.5%
PHX,54-28,99.8%,14.7%,<0.1%
DAL,51-31,98.6%,9.3%,<0.1%
NO,48-34,95.0%,4.7%,0.2%
MEM,47-35,92.3%,4.3%,0.4%
GS,46-36,89.2%,3.8%,0.5%
DEN,46-36,89.4%,3.4%,0.6%
UTH,45-37,85.1%,1.8%,0.8%
MIN,44-38,74.7%,1.7%,1.4%
LAL,36-46,16.2%,0.1%,13.1%
LAC,37-45,24.3%,<0.1%,9.8%
SAC,35-47,11.7%,<0.1%,15.2%
POR,37-45,20.2%,<0.1%,11.5%
SA,32-50,3.3%,<0.1%,22.9%
OKC,27-55,0.2%,0.0%,35.3%
HOU,23-59,0.0%,0.0%,39.4%
